URL,Version,Status,OIDs,Name,Title,Description,Used
http://fhir.et/hiv/CodeSystem/arv-regimen-cs,0.1.0,draft,,ARVRegimenCS,ART Regimen Code System,"National antiretroviral therapy (ART) regimen codes used by the Ethiopia HIV program, mirroring the codes recorded on the national ART register. Demo subset — to be expanded.",
http://fhir.et/hiv/CodeSystem/community-entry-point-cs,0.1.0,draft,,CommunityEntryPointCS,HIV Testing for community entry point CodeSystem,"Defines entry points for community entry point",
http://fhir.et/hiv/CodeSystem/exposure-source-cs,0.1.0,draft,,ExposureSourceCS,,"",
http://fhir.et/hiv/CodeSystem/facility-entry-point-cs,0.1.0,draft,,FacilityEntryPointCS,HIV Testing for facility entry point CodeSystem,"Defines entry points for facility entry point",
http://fhir.et/hiv/CodeSystem/hiv-adherence-cs,0.1.0,active,,HIVAdherenceCS,HIV ART Adherence Code System,"Codes representing the client's adherence to ART treatment",
http://fhir.et/hiv/CodeSystem/hiv-assay-number-cs,0.1.0,active,,HIVAssayNumberCS,HIV Assay Number,"Assay sequence in HIV testing strategy",
http://fhir.et/hiv/CodeSystem/hiv-assay-result-cs,0.1.0,active,,HIVAssayResultCS,HIV Assay Result,"Result of HIV assay",
http://fhir.et/hiv/CodeSystem/hiv-condition-cs,0.1.0,active,,HIVConditionCS,HIV Condition Code System,"Clinical HIV-related conditions and diagnoses",
http://fhir.et/hiv/CodeSystem/hiv-exposure-ways-cs,0.1.0,active,,HIVExposureWaysCS,HIV Exposure Ways CodeSystem,"Codes representing possible HIV exposure routes",
http://fhir.et/hiv/CodeSystem/hiv-prevention-services-cs,0.1.0,active,,HIVPreventionServicesCS,HIV Prevention Services and Referrals,"Prevention services offered and referrals provided",
http://fhir.et/hiv/CodeSystem/hiv-self-test-result-cs,0.1.0,draft,,HIVSelfTestResultCS,HIV Self-test Result Codes,"Code system of HIV Self-test Result codes.",
http://fhir.et/hiv/CodeSystem/hiv-serotype-cs,0.1.0,active,,HIVSerotypeCS,HIV Serotype Codes,"Codes for HIV-1 and HIV-2",
http://fhir.et/hiv/CodeSystem/hiv-status-cs,0.1.0,draft,,HIVStatusCS,,"",
http://fhir.et/hiv/CodeSystem/hiv-test-result-cs,0.1.0,active,,HIVTestResultCS,,"",
http://fhir.et/hiv/CodeSystem/hiv-test-type-cs,0.1.0,active,,HIVTestTypeCS,HIV Test Type Codes,"Types of HIV tests",
http://fhir.et/hiv/CodeSystem/hiv-testing-entry-point-cs,0.1.0,draft,,HIVTestingEntryPointCS,HIV Testing Entry Point CodeSystem,"Defines entry points for HIV Testing Services",
http://fhir.et/hiv/CodeSystem/hiv-testing-reason-cs,0.1.0,draft,,HIVTestingReasonCS,HIV Testing Reason CodeSystem,"Code system of HIV Testing Reason codes.",
http://fhir.et/hiv/CodeSystem/hiv-transmission-route-cs,0.1.0,draft,,HIVTransmissionRouteCS,,"",
http://fhir.et/hiv/CodeSystem/hts-service-cs,0.1.0,draft,,HTSServiceCS,HTS Service CodeSystem,"Codes for HIV Testing Services (HTS) service types.",
http://fhir.et/hiv/CodeSystem/key-population-type-cs,0.1.0,draft,,KeyPopulationTypeCS,Key Population Type Codes,"Code system of Key Population Type codes.",
http://fhir.et/hiv/CodeSystem/other-clinical-services-cs,0.1.0,active,,OtherClinicalServicesCS,Other Clinical Services Offered,"Other clinical services offered to the client",
http://fhir.et/hiv/CodeSystem/other-support-services-cs,0.1.0,active,,OtherSupportServicesCS,Other Support Services,"Support services provided to the client",
http://fhir.et/hiv/CodeSystem/partner-contact-type-cs,0.1.0,draft,,PartnerContactTypeCS,Partner Contact Type Codes,"Types of contacts or partners for partner services",
http://fhir.et/hiv/CodeSystem/partner-hiv-status-cs,0.1.0,draft,,PartnerHIVStatusCS,Partner HIV Status Codes,"Code system of Partner HIV Status codes.",
http://fhir.et/hiv/CodeSystem/partner-risk-category-cs,0.1.0,draft,,PartnerRiskCategoryCS,Partner High Risk Category Codes,"Code system of Partner High Risk Category codes.",
http://fhir.et/hiv/CodeSystem/partner-services-referral-cs,0.1.0,draft,,PartnerServicesReferralCS,Partner Services Referral Codes,"Codes for referral through partner services",
http://fhir.et/hiv/CodeSystem/prep-dosing-type-cs,0.1.0,draft,,PrEPDosingTypeCS,PrEP Dosing Type CodeSystem,"Code system of PrEP Dosing Type codes.",
http://fhir.et/hiv/CodeSystem/prep-visit-interval-cs,0.1.0,active,,PrepVisitIntervalCS,PrEP Visit Interval CodeSystem,"Represents scheduled PrEP visit intervals.",
http://fhir.et/hiv/CodeSystem/prep-visit-reason-cs,0.1.0,active,,PrepVisitReasonCS,PrEP Visit Reason CodeSystem,"Codes representing reasons for PrEP/PEP visits.",
