URL,Version,Status,OIDs,Name,Title,Description,Used
http://dicom.nema.org/resources/ontology/DCM,01,active,"1.2.840.10008.2.16.4",DICOM Controlled Terminology Definitions,,"DICOM Code Definitions (Coding Scheme Designator ""DCM"" Coding Scheme Version ""01"")","ValueSet/security-role-type"
http://fhir.et/core/CodeSystem/education-status-cs,0.9.0,active,,EducationStatusCS,Ethiopia Education Status CodeSystem,"CodeSystem representing the educational status categories used in Ethiopia","ValueSet/education-status-vs"
http://fhir.et/core/CodeSystem/ethiopian-states,0.9.0,active,,EthiopiaStateCS,Ethiopia State / Region CodeSystem,"Administrative states and city administrations of Ethiopia","ValueSet/EthiopiaStateVS"
http://fhir.et/core/CodeSystem/occupation,0.9.0,active,,OccupationCS,Ethiopia Occupation CodeSystem,"CodeSystem representing the occupation categories used in Ethiopia","ValueSet/occupation-vs"
http://fhir.et/hiv/CodeSystem/arv-regimen-cs,0.1.0,draft,,ARVRegimenCS,ART Regimen Code System,"National antiretroviral therapy (ART) regimen codes used by the Ethiopia HIV program, mirroring the codes recorded on the national ART register. Demo subset — to be expanded.","ValueSet/arv-regimen-vs"
http://fhir.et/hiv/CodeSystem/exposure-source-cs,0.1.0,draft,,ExposureSourceCS,,"","ValueSet/exposure-source-vs"
http://fhir.et/hiv/CodeSystem/hiv-adherence-cs,0.1.0,active,,HIVAdherenceCS,HIV ART Adherence Code System,"Codes representing the client's adherence to ART treatment","ValueSet/hiv-adherence-vs"
http://fhir.et/hiv/CodeSystem/hiv-assay-number-cs,0.1.0,active,,HIVAssayNumberCS,HIV Assay Number,"Assay sequence in HIV testing strategy","ValueSet/hiv-assay-number-vs"
http://fhir.et/hiv/CodeSystem/hiv-assay-result-cs,0.1.0,active,,HIVAssayResultCS,HIV Assay Result,"Result of HIV assay","ValueSet/hiv-assay-result-vs"
http://fhir.et/hiv/CodeSystem/hiv-condition-cs,0.1.0,active,,HIVConditionCS,HIV Condition Code System,"Clinical HIV-related conditions and diagnoses","ValueSet/hiv-condition-vs"
http://fhir.et/hiv/CodeSystem/hiv-exposure-ways-cs,0.1.0,active,,HIVExposureWaysCS,HIV Exposure Ways CodeSystem,"Codes representing possible HIV exposure routes","ValueSet/hiv-exposure-ways-vs"
http://fhir.et/hiv/CodeSystem/hiv-prevention-services-cs,0.1.0,active,,HIVPreventionServicesCS,HIV Prevention Services and Referrals,"Prevention services offered and referrals provided","ValueSet/hiv-prevention-services-vs"
http://fhir.et/hiv/CodeSystem/hiv-self-test-result-cs,0.1.0,draft,,HIVSelfTestResultCS,HIV Self-test Result Codes,"Code system of HIV Self-test Result codes.","ValueSet/hiv-self-test-result-vs"
http://fhir.et/hiv/CodeSystem/hiv-serotype-cs,0.1.0,active,,HIVSerotypeCS,HIV Serotype Codes,"Codes for HIV-1 and HIV-2","ValueSet/hiv-serotype-vs"
http://fhir.et/hiv/CodeSystem/hiv-status-cs,0.1.0,draft,,HIVStatusCS,,"","ValueSet/hiv-status-vs"
http://fhir.et/hiv/CodeSystem/hiv-test-result-cs,0.1.0,active,,HIVTestResultCS,,"","ValueSet/hiv-test-result-vs"
http://fhir.et/hiv/CodeSystem/hiv-test-type-cs,0.1.0,active,,HIVTestTypeCS,HIV Test Type Codes,"Types of HIV tests","ValueSet/hiv-test-type-vs"
http://fhir.et/hiv/CodeSystem/hiv-testing-entry-point-cs,0.1.0,draft,,HIVTestingEntryPointCS,HIV Testing Entry Point CodeSystem,"Defines entry points for HIV Testing Services","ValueSet/hiv-testing-entry-point-vs"
http://fhir.et/hiv/CodeSystem/hiv-testing-reason-cs,0.1.0,draft,,HIVTestingReasonCS,HIV Testing Reason CodeSystem,"Code system of HIV Testing Reason codes.","ValueSet/hiv-testing-reason-vs"
http://fhir.et/hiv/CodeSystem/hiv-transmission-route-cs,0.1.0,draft,,HIVTransmissionRouteCS,,"","ValueSet/hiv-transmission-route-vs"
http://fhir.et/hiv/CodeSystem/hts-service-cs,0.1.0,draft,,HTSServiceCS,HTS Service CodeSystem,"Codes for HIV Testing Services (HTS) service types.","ValueSet/hts-service-vs"
