URL,Version,Status,OIDs,Name,Title,Description,Used
http://fhir.et/hiv/CodeSystem/arv-regimen-cs,0.1.0,draft,,ARVRegimenCS,ART Regimen Code System,"National antiretroviral therapy (ART) regimen codes used by the Ethiopia HIV program, mirroring the codes recorded on the national ART register. Demo subset — to be expanded.","ValueSet/arv-regimen-vs"
http://fhir.et/hiv/CodeSystem/exposure-source-cs,0.1.0,draft,,ExposureSourceCS,,"","ValueSet/exposure-source-vs"
http://fhir.et/hiv/CodeSystem/hiv-adherence-cs,0.1.0,active,,HIVAdherenceCS,HIV ART Adherence Code System,"Codes representing the client's adherence to ART treatment","ValueSet/hiv-adherence-vs"
http://fhir.et/hiv/CodeSystem/hiv-assay-number-cs,0.1.0,active,,HIVAssayNumberCS,HIV Assay Number,"Assay sequence in HIV testing strategy","ValueSet/hiv-assay-number-vs"
http://fhir.et/hiv/CodeSystem/hiv-assay-result-cs,0.1.0,active,,HIVAssayResultCS,HIV Assay Result,"Result of HIV assay","ValueSet/hiv-assay-result-vs"
http://fhir.et/hiv/CodeSystem/hiv-condition-cs,0.1.0,active,,HIVConditionCS,HIV Condition Code System,"Clinical HIV-related conditions and diagnoses","ValueSet/hiv-condition-vs"
http://fhir.et/hiv/CodeSystem/hiv-exposure-ways-cs,0.1.0,active,,HIVExposureWaysCS,HIV Exposure Ways CodeSystem,"Codes representing possible HIV exposure routes","ValueSet/hiv-exposure-ways-vs"
http://fhir.et/hiv/CodeSystem/hiv-prevention-services-cs,0.1.0,active,,HIVPreventionServicesCS,HIV Prevention Services and Referrals,"Prevention services offered and referrals provided","ValueSet/hiv-prevention-services-vs"
http://fhir.et/hiv/CodeSystem/hiv-self-test-result-cs,0.1.0,draft,,HIVSelfTestResultCS,HIV Self-test Result Codes,"Code system of HIV Self-test Result codes.","ValueSet/hiv-self-test-result-vs"
http://fhir.et/hiv/CodeSystem/hiv-serotype-cs,0.1.0,active,,HIVSerotypeCS,HIV Serotype Codes,"Codes for HIV-1 and HIV-2","ValueSet/hiv-serotype-vs"
http://fhir.et/hiv/CodeSystem/hiv-status-cs,0.1.0,draft,,HIVStatusCS,,"","ValueSet/hiv-status-vs"
http://fhir.et/hiv/CodeSystem/hiv-test-result-cs,0.1.0,active,,HIVTestResultCS,,"","ValueSet/hiv-test-result-vs"
http://fhir.et/hiv/CodeSystem/hiv-test-type-cs,0.1.0,active,,HIVTestTypeCS,HIV Test Type Codes,"Types of HIV tests","ValueSet/hiv-test-type-vs"
http://fhir.et/hiv/CodeSystem/hiv-testing-entry-point-cs,0.1.0,draft,,HIVTestingEntryPointCS,HIV Testing Entry Point CodeSystem,"Defines entry points for HIV Testing Services","ValueSet/hiv-testing-entry-point-vs"
http://fhir.et/hiv/CodeSystem/hiv-testing-reason-cs,0.1.0,draft,,HIVTestingReasonCS,HIV Testing Reason CodeSystem,"Code system of HIV Testing Reason codes.","ValueSet/hiv-testing-reason-vs"
http://fhir.et/hiv/CodeSystem/hiv-transmission-route-cs,0.1.0,draft,,HIVTransmissionRouteCS,,"","ValueSet/hiv-transmission-route-vs"
http://fhir.et/hiv/CodeSystem/hts-service-cs,0.1.0,draft,,HTSServiceCS,HTS Service CodeSystem,"Codes for HIV Testing Services (HTS) service types.","ValueSet/hts-service-vs"
http://fhir.et/hiv/CodeSystem/key-population-type-cs,0.1.0,draft,,KeyPopulationTypeCS,Key Population Type Codes,"Code system of Key Population Type codes.","ValueSet/key-population-type-vs"
http://fhir.et/hiv/CodeSystem/other-clinical-services-cs,0.1.0,active,,OtherClinicalServicesCS,Other Clinical Services Offered,"Other clinical services offered to the client","ValueSet/other-clinical-services-vs"
http://fhir.et/hiv/CodeSystem/other-support-services-cs,0.1.0,active,,OtherSupportServicesCS,Other Support Services,"Support services provided to the client","ValueSet/other-support-services-vs"
http://fhir.et/hiv/CodeSystem/partner-contact-type-cs,0.1.0,draft,,PartnerContactTypeCS,Partner Contact Type Codes,"Types of contacts or partners for partner services","ValueSet/partner-contact-type-vs"
http://fhir.et/hiv/CodeSystem/partner-risk-category-cs,0.1.0,draft,,PartnerRiskCategoryCS,Partner High Risk Category Codes,"Code system of Partner High Risk Category codes.","ValueSet/partner-risk-category-vs"
http://fhir.et/hiv/CodeSystem/partner-services-referral-cs,0.1.0,draft,,PartnerServicesReferralCS,Partner Services Referral Codes,"Codes for referral through partner services","ValueSet/partner-services-referral-vs"
http://fhir.et/hiv/CodeSystem/prep-dosing-type-cs,0.1.0,draft,,PrEPDosingTypeCS,PrEP Dosing Type CodeSystem,"Code system of PrEP Dosing Type codes.","ValueSet/prep-dosing-type-vs"
http://fhir.et/hiv/CodeSystem/prep-visit-interval-cs,0.1.0,active,,PrepVisitIntervalCS,PrEP Visit Interval CodeSystem,"Represents scheduled PrEP visit intervals.","ValueSet/prep-visit-interval-vs"
http://fhir.et/hiv/CodeSystem/prep-visit-reason-cs,0.1.0,active,,PrepVisitReasonCS,PrEP Visit Reason CodeSystem,"Codes representing reasons for PrEP/PEP visits.","ValueSet/prep-visit-reason-vs"
http://terminology.hl7.org/CodeSystem/v2-0131,3.0.0,active,"2.16.840.1.113883.18.58",ContactRole2,contactRole2,"Code system of concepts which specify a relationship role that the next of kin/associated parties plays with regard to the patient. Also used in referrals, for example, it may be necessary to identify the contact representative at the clinic that sent a referral. Used in HL7 Version 2 messaging in the NK1 and CTD segments after 2.5, when it replace 2.16.840.1.113883.18.57.","ValueSet/v2-0131"
