URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://fhir.et/hiv/ValueSet/arv-regimen-vs,0.1.0,draft,,ARVRegimenVS,ART Regimen Value Set,"Antiretroviral therapy regimens dispensed in the Ethiopia HIV program.","StructureDefinition/hiv-medication-dispense,StructureDefinition/hiv-medication-statement","Internal"
http://fhir.et/hiv/ValueSet/exposure-source-vs,0.1.0,active,,ExposureSourceVS,Source of Exposure ValueSet,"Value set of Source of Exposure values.","StructureDefinition/exposure-source-observation","Internal"
http://fhir.et/hiv/ValueSet/hiv-adherence-vs,0.1.0,active,,AdherenceVS,ART Adherence Value Set,"Value set for documenting ART adherence","StructureDefinition/hiv-adherence","Internal"
http://fhir.et/hiv/ValueSet/hiv-assay-number-vs,0.1.0,active,,HIVAssayNumberVS,HIV Assay Number,"Permitted assay numbers in HIV testing strategy","StructureDefinition/hiv-assay-number-observation","Internal"
http://fhir.et/hiv/ValueSet/hiv-assay-result-vs,0.1.0,active,,HIVAssayResultVS,HIV Assay Result,"Allowed HIV assay results",,"Internal"
http://fhir.et/hiv/ValueSet/hiv-condition-vs,0.1.0,active,,HIVConditionVS,HIV Condition Value Set,"Value set representing HIV-related conditions and statuses","StructureDefinition/hiv-condition","Internal"
http://fhir.et/hiv/ValueSet/hiv-exposure-ways-vs,0.1.0,active,,HIVExposureWaysVS,Ways of HIV Exposure,"Ways in which the client was exposed to HIV","StructureDefinition/hiv-exposure-observation","Internal"
http://fhir.et/hiv/ValueSet/hiv-prevention-services-vs,0.1.0,active,,HIVPreventionServicesVS,HIV Prevention Services and Referrals,"Value set of HIV Prevention Services and Referrals values.","StructureDefinition/hiv-prevention-services","Internal"
http://fhir.et/hiv/ValueSet/hiv-self-test-result-vs,0.1.0,draft,,HIVSelfTestResultVS,HIV Self-test Result ValueSet,"Value set of HIV Self-test Result values.","StructureDefinition/hiv-self-test-result","Internal"
http://fhir.et/hiv/ValueSet/hiv-serotype-vs,0.1.0,active,,HIVSerotypeVS,HIV Serotype,"HIV serotype classification","StructureDefinition/hiv-serotype-observation","Internal"
http://fhir.et/hiv/ValueSet/hiv-status-vs,0.1.0,draft,,HIVStatusVS,,"","StructureDefinition/hiv-status,StructureDefinition/partner-hiv-status","Internal"
http://fhir.et/hiv/ValueSet/hiv-test-result-vs,0.1.0,draft,,HIVTestResultVS,,"","StructureDefinition/partner-hiv-test-result,StructureDefinition/hiv-test-result-observation","Internal"
http://fhir.et/hiv/ValueSet/hiv-test-type-vs,0.1.0,active,,HIVTestTypeVS,HIV Test Type,"Permitted HIV test types","StructureDefinition/hiv-test-type-observation","Internal"
http://fhir.et/hiv/ValueSet/hiv-testing-entry-point-vs,0.1.0,draft,,HIVTestingEntryPointVS,HIV Testing Entry Point ValueSet,"ValueSet of HIV Testing Service entry points","StructureDefinition/hiv-testing-encounter","Internal"
http://fhir.et/hiv/ValueSet/hiv-testing-reason-vs,0.1.0,draft,,HIVTestingReasonVS,HIV Testing Reason ValueSet,"Reasons for HIV testing","StructureDefinition/hiv-testing-encounter","Internal"
http://fhir.et/hiv/ValueSet/hiv-transmission-route-vs,0.1.0,draft,,HIVTransmissionRouteVS,,"","StructureDefinition/hiv-transmission-route","Internal"
http://fhir.et/hiv/ValueSet/hts-service-vs,0.1.0,draft,,HTSServiceVS,HTS Service Types ValueSet,"Value set for HTS service delivery types.","StructureDefinition/hiv-hts-request","Internal"
http://fhir.et/hiv/ValueSet/key-population-type-vs,0.1.0,draft,,KeyPopulationTypeVS,Key Population Type ValueSet,"Value set of Key Population Type values.","StructureDefinition/key-population-type","Internal"
http://fhir.et/hiv/ValueSet/other-clinical-services-vs,0.1.0,active,,OtherClinicalServicesVS,Other Clinical Services Offered,"Value set of Other Clinical Services Offered values.","StructureDefinition/other-clinical-services","Internal"
http://fhir.et/hiv/ValueSet/other-support-services-vs,0.1.0,active,,OtherSupportServicesVS,Other Support Services,"Value set of Other Support Services values.","StructureDefinition/other-support-services","Internal"
